Upper_m,Lower_m,Rootden_,uAux_PSIM_init_kPa,u_delta18O_init_permil,u_delta2H_init_permil
m,m,-,kPa,‰,‰
0,-0.04,0.02868,-6.3,-13,-95
-0.04,-0.08,0.02539,-6.3,-13,-95
-0.08,-0.2,0.02,-6.3,-13,-95
-0.2,-0.45,0.01159,-6.3,-10,-70
-0.45,-0.75,0.00507,-6.3,-10,-70
-0.75,-1.1,0.00191,-6.3,-10,-70
-1.1,-1.2,0.00092,-6.3,-10,-70
