dates,globrad_MJDayM2,tmax_degC,tmin_degC,vappres_kPa,windspeed_ms,prec_mmDay,densef_,height_m,lai_,sai_,age_yrs
2016-12-06,7.15,7.42,-0.18,0.39,1.98,0,1,23,1.752,1,200.93151
2016-12-07,7.04,11.79,1.74,0.19,0.9,0,1,23,1.752,1,200.93425
2016-12-08,7.13,13.11,3.62,0.17,0.55,0,1,23,1.752,1,200.93699
2016-12-09,6.36,12.75,4.51,0.19,0.66,0,1,23,1.752,1,200.93973
2016-12-10,7.19,14.66,6.29,0.22,0.26,0,1,23,1.752,1,200.94247
2016-12-11,4.88,7.75,-0.67,0.38,0.7,0,1,23,1.752,1,200.94521
2016-12-12,7.01,8.42,-1.08,0.33,1.21,0,1,23,1.752,1,200.94795
2016-12-13,6.17,8.33,0.82,0.27,0.73,0,1,23,1.752,1,200.95068
2016-12-14,6.87,8.86,0.95,0.28,1.42,0,1,23,1.752,1,200.95342
2016-12-15,6.96,6.98,-0.3,0.36,0.67,0,1,23,1.752,1,200.95616
2016-12-16,6.95,8.77,-0.21,0.32,0.41,0,1,23,1.752,1,200.9589
2016-12-17,6.97,8.3,0.19,0.3,1.22,0,1,23,1.752,1,200.96164
2016-12-18,6.61,5.93,-1.51,0.41,0.17,0,1,23,1.752,1,200.96438
2016-12-19,4.76,2.25,-3.89,0.32,1.12,0.2,1,23,1.752,1,200.96712
2016-12-20,6.8,8.23,0.95,0.4,0.32,0,1,23,1.752,1,200.96986
2016-12-21,6.7,11.02,2.03,0.45,0.93,0,1,23,1.752,1,200.9726
2016-12-22,6.65,10.25,2.19,0.43,0.28,0,1,23,1.752,1,200.97534
2016-12-23,6.7,8.18,1.72,0.45,0.51,0,1,23,1.752,1,200.97808
2016-12-24,4.91,6.59,0.82,0.49,2.23,0,1,23,1.752,1,200.98082
2016-12-25,3.19,9.18,3.14,0.5,1.43,0,1,23,1.752,1,200.98356
2016-12-26,5.7,11.59,1.14,0.65,0.5,0.2,1,23,1.752,1,200.9863
2016-12-27,6.81,5.25,-0.82,0.42,1.28,0,1,23,1.752,1,200.98904
2016-12-28,7.1,7.75,0.43,0.23,1.15,0,1,23,1.752,1,200.99178
2016-12-29,7.2,10.47,1.42,0.17,1.08,0,1,23,1.752,1,200.99452
2016-12-30,7.12,6.21,-0.27,0.22,0.33,0,1,23,1.752,1,200.99726
2016-12-31,7.25,10.13,-0.14,0.18,0.62,0,1,23,1.752,1,201
