"mat","ths","thr","alpha","npar","ksat","tort","gravel"
1,0.714904351766507,0.069,1147.88918733652,1.05122548124238,24864.6783920139,4.67037491920733,0.01
2,0.668733636362702,0.069,1274.88601785997,1.05105206508049,12881.4864130943,4.47827954306332,0.175
3,0.656099631286888,0.069,1215.92720536592,1.05105576054817,10516.616599022,4.50161682555411,0.175
4,0.601587069968474,0.069,795.204010068961,1.05099447595814,3438.06275227274,4.34488905695014,0.175
5,0.523312302089959,0.069,352.368251760118,1.05096526967581,450.358018846962,4.29121623729625,0.01
6,0.564722657861425,0.069,570.68168416952,1.05111086801023,1488.20958421354,5.14818164036241,0.01
7,0.46742547790463,0.069,164.56400426721,1.05102646664973,67.9784613194552,0.01,0.95
