p_THSAT,p_θr,p_MvGα,p_MvGn,p_MvGm,p_KSAT,p_MvGl,p_STONEF
0.3786,0.0,20.387,1.2347,0.19008666072730207,2854.91,-3.339,0.175
0.3786,0.0,20.387,1.2347,0.19008666072730207,2854.91,-3.339,0.375
0.3786,0.0,20.387,1.2347,0.19008666072730207,2854.91,-3.339,0.375
0.3786,0.0,20.387,1.2347,0.19008666072730207,2854.91,-3.339,0.75
0.3786,0.0,20.387,1.2347,0.19008666072730207,2854.91,-3.339,0.75
