time,cum_d_prec,cum_d_rfal,cum_d_sfal,cum_d_rint,cum_d_sint,cum_d_rthr,cum_d_sthr,cum_d_rsno,cum_d_rnet,cum_d_smlt,cum_d_tran,cum_d_irvp,cum_d_isvp,cum_d_slvp,cum_d_snvp,cum_d_pint,cum_d_ptran,evap,flow,seep,srfl,slfl,byfl,dsfl,gwfl,vrfln,StorageSWAT,StorageWATER,BALERD_SWAT,BALERD_total
2021-01-01T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.2717578009486,144.2717578009486,0.0,0.0
2021-01-02T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548024042942592,0.0,0.0,0.07035569890762121,0.0,2.654223474957365,0.054802404294259206,0.12515810320188042,0.05178661126582546,0.010477053009952613,0.0,0.0,0.0,0.009878399226014994,0.041908212039810454,2.2726949379761225,144.2717578009486,144.2717578009486,0.0,0.0
2021-01-03T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03790827783225977,0.0,0.0,0.043097278997656606,0.0,1.9465618231236195,0.037908277832259786,0.08100555682991638,0.14456249031946744,0.033934211254369025,0.0,0.0,0.0,0.008825645301991404,0.1357368450174761,2.452947664747439,141.86402636054459,144.08433603347095,-1.1102230246251565e-14,-1.3877787807814457e-14
2021-01-04T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05221793299878733,0.0,0.0,0.07057372656097727,0.0,2.5871584275093595,0.05221793299878732,0.1227916595597646,0.22647855870611602,0.054689019127868846,0.0,0.0,0.0,0.0077224821946405555,0.21875607651147538,2.133657663624925,139.32124749366525,143.82483377506722,-1.509903313490213e-14,-2.475797344914099e-14
2021-01-05T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04199809362815493,0.0,0.0,0.03888557451980471,0.0,2.0547127834480525,0.041998093628154896,0.08088366814795964,0.2921008255496916,0.07131614824922705,0.0,0.0,0.0,0.006836232552783522,0.2852645929969082,1.8359939558023524,137.05707568828586,143.4208745376734,6.084022174945858e-14,7.110978472724128e-14
2021-01-06T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037116462260182045,0.0,0.0,0.046461148143813066,0.0,2.0579747177074683,0.03711646226018198,0.08357761040399511,0.34437772277071327,0.08455845065680667,0.0,0.0,0.0,0.006143920143486889,0.3382338026272267,1.6044850802959356,135.13336183178282,142.97657389572657,-5.3512749786932545e-14,-5.3512749786932545e-14
2021-01-07T00:00:00.0,0.7,0.0,0.7,0.0,0.08399440000000001,0.0,0.6160055999999999,0.0,0.0,0.35,0.012985357855943921,0.0,0.08399440000000001,0.0,0.0,0.9721091059794841,0.012985357855943895,0.09697975785594393,0.5950238881960519,0.09516702573210366,0.14193798309697853,0.20806201690302317,0.06680452231842222,0.005613279852236426,0.38066810292841463,1.425664570116561,133.4391552209394,142.46406011189504,5.551115123125783e-15,2.1760371282653068e-14
2021-01-08T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24362440937743016,0.01501580726196963,0.0,0.0,0.0,0.022381190622569807,0.5544316739436937,0.015015807261969608,0.037396997884539436,0.5587344613504395,0.10373961430771407,0.09271448249500581,0.15090992688242377,0.04585724847662545,0.0052042731479513965,0.4149584572308563,1.2911729622514458,132.13614950769926,142.37688944011094,-6.661338147750939e-16,-5.88418203051333e-15
2021-01-09T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028126722000543815,0.0,0.0,0.02437827787664519,0.0,1.6257059730248669,0.02812672200054375,0.052504999877189006,0.44776801950458206,0.1107320422149136,0.0,0.0,0.0,0.004839850644927365,0.4429281688596544,1.1837829089584553,130.92980914344366,141.67701836656826,2.6867397195928788e-14,-1.176836406102666e-14
2021-01-10T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03159916615972319,0.0,0.0,0.027286792885663734,0.0,1.4879481483060844,0.03159916615972323,0.058885959045386925,0.4701187493074597,0.11640316837896178,0.0,0.0,0.0,0.004506075791612901,0.4656126735158471,1.0887744361837315,129.68868138396311,141.06601330497156,-2.353672812205332e-14,1.509903313490213e-14
2021-01-11T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03603783309350132,0.0,0.0,0.03603507619751983,0.0,1.8387846980538518,0.03603783309350129,0.07207290929102116,0.48790252339618356,0.12092254564812381,0.0,0.0,0.0,0.004212340803687916,0.48369018259249524,1.004496079003671,128.53651491294238,140.42060542823975,3.3306690738754696e-15,9.992007221626409e-16
2021-01-12T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044124146354510785,0.0,0.0,0.049943149537459354,0.0,2.252290830052449,0.04412414635451085,0.09406729589197013,0.501762158663001,0.12445276544694248,0.0,0.0,0.0,0.003951096875231307,0.4978110617877699,0.9308081271289508,127.45573358384397,139.73970744990442,3.419486915845482e-14,9.43689570931383e-15
