#Data produced with Piso.AI v.1.01 and downloaded on 2021-10-16.
#Please cite Nelson/Basler/Kahmen (PNAS 2021 Vol. 118 No. 26 e2024107118) when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"75","Piso.AI.Site",2016-03-15,46.70022,7.76755,1540,-13,-100
"76","Piso.AI.Site",2016-04-15,46.70022,7.76755,1540,-10.6,-74
"77","Piso.AI.Site",2016-05-15,46.70022,7.76755,1540,-10.9,-77
"78","Piso.AI.Site",2016-06-15,46.70022,7.76755,1540,-9.5,-69
"79","Piso.AI.Site",2016-07-15,46.70022,7.76755,1540,-6.1,-35
"80","Piso.AI.Site",2016-08-15,46.70022,7.76755,1540,-6.6,-42
"81","Piso.AI.Site",2016-09-15,46.70022,7.76755,1540,-9.1,-61
"82","Piso.AI.Site",2016-10-15,46.70022,7.76755,1540,-10.2,-67
"83","Piso.AI.Site",2016-11-15,46.70022,7.76755,1540,-13.3,-95
"84","Piso.AI.Site",2016-12-15,46.70022,7.76755,1540,-12,-88
"85","Piso.AI.Site",2017-01-15,46.70022,7.76755,1540,-14.5,-109
"86","Piso.AI.Site",2017-02-15,46.70022,7.76755,1540,-12.5,-92
"87","Piso.AI.Site",2017-03-15,46.70022,7.76755,1540,-9.7,-72
"88","Piso.AI.Site",2017-04-15,46.70022,7.76755,1540,-9.2,-68
"89","Piso.AI.Site",2017-05-15,46.70022,7.76755,1540,-9.3,-61
"90","Piso.AI.Site",2017-06-15,46.70022,7.76755,1540,-6.3,-44
"91","Piso.AI.Site",2017-07-15,46.70022,7.76755,1540,-6.3,-40
"92","Piso.AI.Site",2017-08-15,46.70022,7.76755,1540,-7,-41
"93","Piso.AI.Site",2017-09-15,46.70022,7.76755,1540,-9.5,-69
"94","Piso.AI.Site",2017-10-15,46.70022,7.76755,1540,-8.6,-55
"95","Piso.AI.Site",2017-11-15,46.70022,7.76755,1540,-12,-90
"96","Piso.AI.Site",2017-12-15,46.70022,7.76755,1540,-14,-100
"97","Piso.AI.Site",2018-01-15,46.70022,7.76755,1540,-12,-89
"98","Piso.AI.Site",2018-02-15,46.70022,7.76755,1540,-16.6,-120
"99","Piso.AI.Site",2018-03-15,46.70022,7.76755,1540,-14.5,-105
"100","Piso.AI.Site",2018-04-15,46.70022,7.76755,1540,-9.7,-69
"101","Piso.AI.Site",2018-05-15,46.70022,7.76755,1540,-9.2,-69
"102","Piso.AI.Site",2018-06-15,46.70022,7.76755,1540,-6.7,-45
"103","Piso.AI.Site",2018-07-15,46.70022,7.76755,1540,-6.5,-42
"104","Piso.AI.Site",2018-08-15,46.70022,7.76755,1540,-7.2,-46
"105","Piso.AI.Site",2018-09-15,46.70022,7.76755,1540,-6.9,-49
"106","Piso.AI.Site",2018-10-15,46.70022,7.76755,1540,-11.2,-71
"107","Piso.AI.Site",2018-11-15,46.70022,7.76755,1540,-12.5,-92
"108","Piso.AI.Site",2018-12-15,46.70022,7.76755,1540,-11.3,-80
"109","Piso.AI.Site",2019-01-15,46.70022,7.76755,1540,-14.2,-103
"110","Piso.AI.Site",2019-02-15,46.70022,7.76755,1540,-11.7,-96
"111","Piso.AI.Site",2019-03-15,46.70022,7.76755,1540,-8.9,-66
"112","Piso.AI.Site",2019-04-15,46.70022,7.76755,1540,-13.5,-92
"113","Piso.AI.Site",2019-05-15,46.70022,7.76755,1540,-11.1,-75
"114","Piso.AI.Site",2019-06-15,46.70022,7.76755,1540,-5.9,-38
"115","Piso.AI.Site",2019-07-15,46.70022,7.76755,1540,-5.9,-38
"116","Piso.AI.Site",2019-08-15,46.70022,7.76755,1540,-7,-47
"117","Piso.AI.Site",2019-09-15,46.70022,7.76755,1540,-8.2,-54
"118","Piso.AI.Site",2019-10-15,46.70022,7.76755,1540,-9.4,-61
"119","Piso.AI.Site",2019-11-15,46.70022,7.76755,1540,-15.6,-108
"120","Piso.AI.Site",2019-12-15,46.70022,7.76755,1540,-11.9,-93
